id,type_id,info,description,fp_cost,fp_cost_continuous,stamina_cost,slots_used,req_int,req_fai,req_arc,image_url
2782,1,Spews flame breath of Agheel from above,"Superior incantation of Dragon Communion.
Channels the power of the flying dragon Agheel.

Transforms caster into a dragon to spew flaming breath from above.
Charging extends duration. This incantation can be used while jumping.

The dead gazed at the skies over the lakes of Limgrave, praying that the dragons' flames would burn them to ash.",36,6,60,1,0,23,15,https://eldenring.fanapis.com/images/incantations/17f690dc5ael0hynrxf3lq1w3xcjpr.png
2783,1,Stabs with red lightning spear from above,"A secret incantation of the capital's ancient dragon cult.

Creates a spear of red lightning and stabs it into the ground from above. On impact, the spear will burst into trails of lightning covering the area.

Spoken of in legend, red lightning is the weapon wielded by the ancient dragons.",25,,29,1,0,32,0,https://eldenring.fanapis.com/images/incantations/17f6911d8c2l0hyns4qd7p9pfucu26.png
2784,1,Summons red lightning that spreads from impact,"A secret incantation of the capital's ancient dragon cult.

Summons a red bolt of lightning that scatters and spreads around the surrounding area.
Charging enhances the range of the lightning bolt.

Spoken of in legend, red lightning is the weapon wielded by the ancient dragons.",36,,31,1,0,26,0,https://eldenring.fanapis.com/images/incantations/17f696c7ce7l0hynrwmh6d0r0rwk2.png
2785,1,Creates throat pouch to spew fire while walking,"One of the ancient Erdtree incantations.

Creates a throat pouch on the caster's neck, allowing them to spew fiery breath while walking.
Charging increases duration of the breath.

This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",28,4,40,1,0,27,0,https://eldenring.fanapis.com/images/incantations/17f693c22edl0hynsdj8fz0ddz4vni.png
2786,1,Creates shoulder horn to gore foes from low stance,"One of the ancient Erdtree incantations.

Creates a mighty horn on the caster's shoulder to gore foes from a low stance.
Charging allows the caster to barrel into foes before delivering the final attack.

This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",18,,38,1,0,27,0,https://eldenring.fanapis.com/images/incantations/17f695ad891l0hynrxcposdnx7gy9h.png
2787,1,Creates supple tail to sweep area before caster,"One of the ancient Erdtree incantations.

Creates a supple tail that sweeps through foes before the caster.
Charging enhances potency.

This is a manifestation of the Erdtree's primal vital energies—an aspect of the primordial crucible, where all life was once blended together.",20,,32,1,0,27,0,https://eldenring.fanapis.com/images/incantations/17f693bd4f8l0hynrzaixs0xzre1q.png
2788,1,"Silences footsteps, reduces fall damage/sound","Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold.

Completely silences the footsteps of the caster. Additionally, reduces fall damage and the sound produced by falling.
This incantation can be cast while in motion or crouching.

The assassins were charged with eliminating Tarnished who had strayed from guidance.",15,,13,1,0,10,0,
2789,1,Greatly increases magic damage negation for self & allies,"One of the incantations of Erdtree Worship.

Greatly increases magic damage negation for the caster and nearby allies.
Hold to continue praying and delay activation.

This incantation was used by the champions of the Erdtree in the First and Second Liurnian Wars, during which the red-haired Radagon joined the heroes' ranks.",30,,13,1,0,24,0,https://eldenring.fanapis.com/images/incantations/17f698483c9l0hyns2v5nt60a29sd.png
2790,1,Creates beast claws that tear through the land,"Incantation taught by Gurranq, the Beast Clergyman.

Creates beast claws that rend the land with shockwaves.
Charging enhances potency.

This incantation represents the fury of Gurranq, his bestial nature returned, as much as it does his restless agitation.",10,,27,1,0,8,0,https://eldenring.fanapis.com/images/incantations/17f690418f4l0hyns68vsg9zhbc6w.png
2791,1,Alleviates blood loss and frost buildup,"Incantation taught by Gurranq, the Beast Clergyman.

Fills the body with bestial vigor, alleviating buildup of frost and blood loss.

Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold.",10,,10,1,0,9,0,https://eldenring.fanapis.com/images/incantations/17f69691e79l0hyntbidbq75lrrjb7.png
2792,1,Swiftly flings numerous sharp rock shards,"Incantation taught by Gurranq, the Beast Clergyman.

Swiftly flings a number of sharp rock shards.
This incantation can be cast without delay after performing another action.

It is said that in the time before the Erdtree, stones were the first weapons of the beasts who had gained intelligence.",7,,19,1,0,10,0,https://eldenring.fanapis.com/images/incantations/17f68f98778l0hynteevtb4hr6x90d.png
2793,1,Heals HP over a period of time,"Incantation taught by Gurranq, the Beast Clergyman.

Fills the body with bestial vigor, restoring HP over a period of time.

Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold.",18,,10,1,0,12,0,https://eldenring.fanapis.com/images/incantations/17f6955e547l0hyntv29oe95w4kpxj.png
2794,1,Black blade spinning slash that emits wave of light,"Power gleaned from the remembrance of Maliketh.

Caster creates an illusory black blade, then leaps forward to deliver a spinning slash that emits a wave of light.
This can be followed up with one additional attack.

This blade was once imbued with Destined Death. In addition to dealing damage, it reduces foes' maximum HP and continues to sap their current HP for a very short time.",26,,44,2,0,46,0,https://eldenring.fanapis.com/images/incantations/17f69160ac9l0hynthagycs7dr7gq7.png
2795,1,Throws a ball of raging black fire,"A black flame incantation of the Godskin Apostles.

Throws a ball of raging black fire.
Charging enhances potency and causes the fireball to explode.

Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time.",18,,25,1,0,20,0,https://eldenring.fanapis.com/images/incantations/17f6982c810l0hyntn0pvua05sv3w.png
2796,1,Enchants right-hand armament with black flame,"A black flame incantation of the Godskin Apostles.

Engulfs armament held in the right hand with black flame.
This incantation can be cast without delay after performing another action.

Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time.",15,,10,1,0,17,0,https://eldenring.fanapis.com/images/incantations/17f692ee649l0hyntu1vu7cu8wxah.png
2797,1,Summons circle of black flame pillars around caster,"Superior black flame incantation of the Godskin Apostles.

Summons a circle of black flame pillars around the caster.
Charging increases the size of the circle.

The Gloam-Eyed Queen led the apostles. It is said that she was an Empyrean chosen by the Fingers.",30,,39,1,0,42,0,https://eldenring.fanapis.com/images/incantations/17f69860befl0hyntmsoo0kq76fsvd.png
2798,1,Increases physical damage negation,"A black flame incantation of the Godskin Apostles.

Summons black fire within, increasing physical damage negation. However, sacred flasks and other such forms of HP restoration are impaired.

The Apostles were all embraced by the Gloam-Eyed Queen, and the black flame was their armor within.",30,,13,1,0,30,0,https://eldenring.fanapis.com/images/incantations/17f694f1c32l0hynu33qh2e3un2g1.png
